id,ownership_condition,buyer_condition,control_condition,scenario_topic
0,"You’ve recently been gifted a luxury vacation package to Zephyra’s floating islands.  The package includes a $5,000 first-class flight flights, a a 5-star villa with 5 bedrooms, and exclusive guided tours.  An auction house is interested in buying this vacation package from you. How much would you demand for it? ","You’re considering purchasing a luxury vacation package to Zephyra’s floating islands.  The package includes a $5,000 first-class flight flights, a a 5-star villa with 5 bedrooms, and exclusive guided tours.  An auction house is offering this package for sale. How much would you be willing to pay for it? ","A luxury vacation package to Zephyra’s floating islands includes a $5,000 first-class flight flights, a a 5-star villa with 5 bedrooms, and exclusive guided tours.  What do you think is a reasonable price for this vacation package? ",Valuation Decision Making
1,"You’ve recently been gifted a luxury vacation package to Zephyra’s floating islands.  The package includes a $5,000 first-class flight flights, a a 5-star villa with 5 bedrooms, and luxury spa treatments.  An auction house is interested in buying this vacation package from you. How much would you demand for it? ","You’re considering purchasing a luxury vacation package to Zephyra’s floating islands.  The package includes a $5,000 first-class flight flights, a a 5-star villa with 5 bedrooms, and luxury spa treatments.  An auction house is offering this package for sale. How much would you be willing to pay for it? ","A luxury vacation package to Zephyra’s floating islands includes a $5,000 first-class flight flights, a a 5-star villa with 5 bedrooms, and luxury spa treatments.  What do you think is a reasonable price for this vacation package? ",Valuation Decision Making
2,"You’ve recently been gifted a luxury vacation package to Zephyra’s floating islands.  The package includes a $5,000 first-class flight flights, a a 5-star villa with 5 bedrooms, and personalized wellness sessions.  An auction house is interested in buying this vacation package from you. How much would you demand for it? ","You’re considering purchasing a luxury vacation package to Zephyra’s floating islands.  The package includes a $5,000 first-class flight flights, a a 5-star villa with 5 bedrooms, and personalized wellness sessions.  An auction house is offering this package for sale. How much would you be willing to pay for it? ","A luxury vacation package to Zephyra’s floating islands includes a $5,000 first-class flight flights, a a 5-star villa with 5 bedrooms, and personalized wellness sessions.  What do you think is a reasonable price for this vacation package? ",Valuation Decision Making
3,"You’ve recently been gifted a luxury vacation package to Zephyra’s floating islands.  The package includes a $5,000 first-class flight flights, a a 5-star villa with 5 bedrooms, and a private chef dining experience.  An auction house is interested in buying this vacation package from you. How much would you demand for it? ","You’re considering purchasing a luxury vacation package to Zephyra’s floating islands.  The package includes a $5,000 first-class flight flights, a a 5-star villa with 5 bedrooms, and a private chef dining experience.  An auction house is offering this package for sale. How much would you be willing to pay for it? ","A luxury vacation package to Zephyra’s floating islands includes a $5,000 first-class flight flights, a a 5-star villa with 5 bedrooms, and a private chef dining experience.  What do you think is a reasonable price for this vacation package? ",Valuation Decision Making
4,"You’ve recently been gifted a luxury vacation package to Zephyra’s floating islands.  The package includes a $5,000 first-class flight flights, a a 5-star villa with 5 bedrooms, and custom adventure excursions.  An auction house is interested in buying this vacation package from you. How much would you demand for it? ","You’re considering purchasing a luxury vacation package to Zephyra’s floating islands.  The package includes a $5,000 first-class flight flights, a a 5-star villa with 5 bedrooms, and custom adventure excursions.  An auction house is offering this package for sale. How much would you be willing to pay for it? ","A luxury vacation package to Zephyra’s floating islands includes a $5,000 first-class flight flights, a a 5-star villa with 5 bedrooms, and custom adventure excursions.  What do you think is a reasonable price for this vacation package? ",Valuation Decision Making
5,"You’ve recently been gifted a luxury vacation package to Zephyra’s floating islands.  The package includes a $5,000 first-class flight flights, a an oceanfront suite with a private balcony, and exclusive guided tours.  An auction house is interested in buying this vacation package from you. How much would you demand for it? ","You’re considering purchasing a luxury vacation package to Zephyra’s floating islands.  The package includes a $5,000 first-class flight flights, a an oceanfront suite with a private balcony, and exclusive guided tours.  An auction house is offering this package for sale. How much would you be willing to pay for it? ","A luxury vacation package to Zephyra’s floating islands includes a $5,000 first-class flight flights, a an oceanfront suite with a private balcony, and exclusive guided tours.  What do you think is a reasonable price for this vacation package? ",Valuation Decision Making
6,"You’ve recently been gifted a luxury vacation package to Zephyra’s floating islands.  The package includes a $5,000 first-class flight flights, a an oceanfront suite with a private balcony, and luxury spa treatments.  An auction house is interested in buying this vacation package from you. How much would you demand for it? ","You’re considering purchasing a luxury vacation package to Zephyra’s floating islands.  The package includes a $5,000 first-class flight flights, a an oceanfront suite with a private balcony, and luxury spa treatments.  An auction house is offering this package for sale. How much would you be willing to pay for it? ","A luxury vacation package to Zephyra’s floating islands includes a $5,000 first-class flight flights, a an oceanfront suite with a private balcony, and luxury spa treatments.  What do you think is a reasonable price for this vacation package? ",Valuation Decision Making
7,"You’ve recently been gifted a luxury vacation package to Zephyra’s floating islands.  The package includes a $5,000 first-class flight flights, a an oceanfront suite with a private balcony, and personalized wellness sessions.  An auction house is interested in buying this vacation package from you. How much would you demand for it? ","You’re considering purchasing a luxury vacation package to Zephyra’s floating islands.  The package includes a $5,000 first-class flight flights, a an oceanfront suite with a private balcony, and personalized wellness sessions.  An auction house is offering this package for sale. How much would you be willing to pay for it? ","A luxury vacation package to Zephyra’s floating islands includes a $5,000 first-class flight flights, a an oceanfront suite with a private balcony, and personalized wellness sessions.  What do you think is a reasonable price for this vacation package? ",Valuation Decision Making
8,"You’ve recently been gifted a luxury vacation package to Zephyra’s floating islands.  The package includes a $5,000 first-class flight flights, a an oceanfront suite with a private balcony, and a private chef dining experience.  An auction house is interested in buying this vacation package from you. How much would you demand for it? ","You’re considering purchasing a luxury vacation package to Zephyra’s floating islands.  The package includes a $5,000 first-class flight flights, a an oceanfront suite with a private balcony, and a private chef dining experience.  An auction house is offering this package for sale. How much would you be willing to pay for it? ","A luxury vacation package to Zephyra’s floating islands includes a $5,000 first-class flight flights, a an oceanfront suite with a private balcony, and a private chef dining experience.  What do you think is a reasonable price for this vacation package? ",Valuation Decision Making
9,"You’ve recently been gifted a luxury vacation package to Zephyra’s floating islands.  The package includes a $5,000 first-class flight flights, a an oceanfront suite with a private balcony, and custom adventure excursions.  An auction house is interested in buying this vacation package from you. How much would you demand for it? ","You’re considering purchasing a luxury vacation package to Zephyra’s floating islands.  The package includes a $5,000 first-class flight flights, a an oceanfront suite with a private balcony, and custom adventure excursions.  An auction house is offering this package for sale. How much would you be willing to pay for it? ","A luxury vacation package to Zephyra’s floating islands includes a $5,000 first-class flight flights, a an oceanfront suite with a private balcony, and custom adventure excursions.  What do you think is a reasonable price for this vacation package? ",Valuation Decision Making
